Candidate No. (Need not appear on the scorecard),Round,First Name ,Last Name ,Full Name ,Registration Number,Grade ,Name of School ,Gender,Date of Birth ,City of Residence,Date and time of test,Country of Residence,Question No.,What you marked,Correct Answer,Outcome (Correct/Incorrect/Not Attempted),Score if correct,Your score,Final result
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q7,,D,Unattempted,3,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q8,E,E,Correct,3,3,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q9,B,E,Incorrect,3,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q10,B,B,Correct,3,3,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q11,D,D,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q12,,A,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q13,B,B,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q14,B,B,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q15,,B,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q16,B,E,Incorrect,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q17,C,C,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q18,,A,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q19,D,D,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q20,C,C,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q21,,E,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q22,C,C,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q23,A,A,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q24,,D,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q25,A,C,Incorrect,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q1,C,C,Correct,2,2,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q2,,D,Unattempted,2,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q3,E,E,Correct,2,2,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q4,C,A,Incorrect,2,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q5,,C,Unattempted,2,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q6,C,C,Correct,3,3,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q7,E,D,Incorrect,3,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q8,,E,Unattempted,3,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q9,E,E,Correct,3,3,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q10,B,B,Correct,3,3,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q11,,D,Unattempted,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q12,C,A,Incorrect,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q13,B,B,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q14,,B,Unattempted,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q15,B,B,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q16,,E,Unattempted,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q17,C,C,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q18,C,A,Incorrect,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q19,,D,Unattempted,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q20,C,C,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q21,E,E,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q22,C,C,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q23,A,A,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q24,C,D,Incorrect,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q25,C,C,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q1,C,C,Correct,2,2,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q2,D,D,Correct,2,2,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q3,,E,Unattempted,2,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q4,A,A,Correct,2,2,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q5,C,C,Correct,2,2,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q6,C,C,Correct,3,3,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q7,,D,Unattempted,3,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q8,C,E,Incorrect,3,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q9,E,E,Correct,3,3,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q10,,B,Unattempted,3,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q11,D,D,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q12,A,A,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q13,C,B,Incorrect,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q14,,B,Unattempted,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q15,B,B,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q16,C,E,Incorrect,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q17,C,C,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q18,,A,Unattempted,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q19,C,D,Incorrect,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q20,C,C,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q21,E,E,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q22,,C,Unattempted,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q23,C,A,Incorrect,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q24,D,D,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q25,C,C,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q1,,C,Unattempted,2,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q2,C,D,Incorrect,2,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q3,E,E,Correct,2,2,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q4,A,A,Correct,2,2,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q5,,C,Unattempted,2,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q6,C,C,Correct,3,3,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q7,D,D,Correct,3,3,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q8,E,E,Correct,3,3,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q9,,E,Unattempted,3,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q10,C,B,Incorrect,3,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q11,D,D,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q12,A,A,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q13,,B,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q14,,B,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q15,C,B,Incorrect,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q16,,E,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q17,C,C,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q18,,A,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q19,D,D,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q20,,C,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q21,E,E,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q22,,C,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion
