Candidate No. (Need not appear on the scorecard),Round,First Name ,Last Name ,Full Name ,Registration Number,Grade ,Name of School ,Gender,Date of Birth ,City of Residence,Date and time of test,Country of Residence,Question No.,What you marked,Correct Answer,Outcome (Correct/Incorrect/Not Attempted),Score if correct,Your score,Qualification,"% of students
across the world
who attempted
this question","% of students (from
those who attempted
this ) who got it
correct","% of students
(from those who
attempted this)
who got it
incorrect","World Average
in this question
",Average score of all students across the World,Median score of all students across the World,Mode score of all students across World,First name's attempts (Attempts x 100 / Total Questions),Average attempts of all students across the Worl,First name's Accuracy ( Corrects x 100 /Attempts ),Average accuracy of all students across the World
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q17,C,C,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,90.41%,78.22%,21.78%,3.54,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q18,B,A,Incorrect,5,0,ABC1 XYZ1 has been awarded with the title of PQR Champion,89.64%,73.12%,26.88%,3.28,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q19,D,D,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,92.23%,62.36%,37.64%,2.88,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q20,C,C,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q21,C,E,Incorrect,5,0,ABC1 XYZ1 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q22,C,C,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q23,B,A,Incorrect,5,0,ABC1 XYZ1 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q24,D,D,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q25,C,C,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q1,C,C,Correct,2,2,ABC2 XYZ2 has been awarded with the title of PQR Winner,82.90%,85.31%,14.69%,3.54,57.2,78,90,92,81,84.00%,64.23%
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q2,,D,Unattempted,2,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,88.08%,87.94%,12.06%,3.87,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q3,E,E,Correct,2,2,ABC2 XYZ2 has been awarded with the title of PQR Winner,90.41%,78.22%,21.78%,3.54,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q4,A,A,Correct,2,2,ABC2 XYZ2 has been awarded with the title of PQR Winner,55.18%,69.01%,30.99%,1.9,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q5,B,C,Incorrect,2,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,50.26%,50.52%,49.48%,1.27,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q6,E,C,Incorrect,3,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,56.22%,43.78%,56.22%,1.23,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q7,,D,Unattempted,3,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,67.10%,26.25%,73.75%,0.88,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q8,E,E,Correct,3,3,ABC2 XYZ2 has been awarded with the title of PQR Winner,86.27%,62.16%,37.84%,2.68,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q9,B,E,Incorrect,3,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,85.23%,89.67%,10.33%,3.82,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q10,B,B,Correct,3,3,ABC2 XYZ2 has been awarded with the title of PQR Winner,87.05%,94.35%,5.65%,4.11,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q11,D,D,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner,82.90%,85.31%,14.69%,3.54,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q12,,A,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,88.08%,87.94%,12.06%,3.87,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q13,B,B,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner,90.41%,78.22%,21.78%,3.54,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q14,B,B,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner,89.64%,73.12%,26.88%,3.28,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q15,,B,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,92.23%,62.36%,37.64%,2.88,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q16,B,E,Incorrect,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,79.27%,64.71%,35.29%,2.56,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q17,C,C,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner,93.78%,70.99%,29.01%,3.33,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q18,,A,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,74.09%,68.18%,31.82%,2.53,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q19,D,D,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner,84.20%,67.08%,32.92%,2.82,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q20,C,C,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner,85.23%,89.67%,10.33%,3.82,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q21,,E,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,87.05%,94.35%,5.65%,4.11,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q22,C,C,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner,85.23%,89.67%,10.33%,3.82,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,07/03/2012,Terryville,Aug 5-6 2021,USA,Q23,A,A,Correct,5,5,ABC2 XYZ2 has been awarded with the title of PQR Winner,87.05%,94.35%,5.65%,4.11,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Peter,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q24,,D,Unattempted,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,82.90%,85.31%,14.69%,3.54,,,,,,,
2,2,ABC2,XYZ2,ABC2 XYZ2,547897892170.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q25,A,C,Incorrect,5,0,ABC2 XYZ2 has been awarded with the title of PQR Winner,88.08%,87.94%,12.06%,3.87,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q1,C,C,Correct,2,2,ABC3 XYZ3 has been awarded with the title of PQR Champion,90.41%,78.22%,21.78%,3.54,87.2,66,82,90,79,24.00%,64.23%
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q2,,D,Unattempted,2,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,89.64%,73.12%,26.88%,3.28,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q3,E,E,Correct,2,2,ABC3 XYZ3 has been awarded with the title of PQR Champion,92.23%,62.36%,37.64%,2.88,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q4,C,A,Incorrect,2,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q5,,C,Unattempted,2,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q6,C,C,Correct,3,3,ABC3 XYZ3 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q7,E,D,Incorrect,3,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q8,,E,Unattempted,3,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q9,E,E,Correct,3,3,ABC3 XYZ3 has been awarded with the title of PQR Champion,88.08%,87.94%,12.06%,3.87,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q10,B,B,Correct,3,3,ABC3 XYZ3 has been awarded with the title of PQR Champion,90.41%,78.22%,21.78%,3.54,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q11,,D,Unattempted,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,89.64%,73.12%,26.88%,3.28,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q12,C,A,Incorrect,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,92.23%,62.36%,37.64%,2.88,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q13,B,B,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q14,,B,Unattempted,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q15,B,B,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q16,,E,Unattempted,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q17,C,C,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q18,C,A,Incorrect,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q19,,D,Unattempted,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q20,C,C,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q21,E,E,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion,88.08%,87.94%,12.06%,3.87,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q22,C,C,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion,90.41%,78.22%,21.78%,3.54,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q23,A,A,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion,89.64%,73.12%,26.88%,3.28,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q24,C,D,Incorrect,5,0,ABC3 XYZ3 has been awarded with the title of PQR Champion,92.23%,62.36%,37.64%,2.88,,,,,,,
3,2,ABC3,XYZ3,ABC3 XYZ3,547897892198.00,5,St Mark,Female,01/01/2009,Mouselville,Aug 5-6 2021,India,Q25,C,C,Correct,5,5,ABC3 XYZ3 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q1,C,C,Correct,2,2,ABC4 XYZ4 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,77.2,60,87,100,87.02,35.00%,69.52%
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q2,D,D,Correct,2,2,ABC4 XYZ4 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q3,,E,Unattempted,2,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q4,A,A,Correct,2,2,ABC4 XYZ4 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q5,C,C,Correct,2,2,ABC4 XYZ4 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q6,C,C,Correct,3,3,ABC4 XYZ4 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q7,,D,Unattempted,3,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q8,C,E,Incorrect,3,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,82.90%,85.31%,14.69%,3.54,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q9,E,E,Correct,3,3,ABC4 XYZ4 has been awarded with the title of PQR Champion,88.08%,87.94%,12.06%,3.87,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q10,,B,Unattempted,3,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,90.41%,78.22%,21.78%,3.54,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q11,D,D,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion,89.64%,73.12%,26.88%,3.28,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q12,A,A,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion,92.23%,62.36%,37.64%,2.88,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q13,C,B,Incorrect,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q14,,B,Unattempted,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q15,B,B,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q16,C,E,Incorrect,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q17,C,C,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q18,,A,Unattempted,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q19,C,D,Incorrect,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q20,C,C,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
